Date,Close/Last,Volume,Open,High,Low,sentiment
2018-05-10,20.3347,84641523,20.5,20.866,20.2741,0.0563221945137157
2018-05-11,20.0707,69979780,20.5133,20.592,19.9387,0.0912084507042253
2018-05-14,19.4647,108982461,20.2213,20.3293,19.4413,0.0160874100719424
2018-05-15,18.9453,142646224,19.0007,19.1307,18.7,0.0273071615720524
2018-05-16,19.0987,85044617,18.922,19.254,18.7707,0.0535458810068649
2018-05-17,18.9693,66273837,19.06,19.2792,18.9313,0.0860673559822747
2018-05-18,18.4547,108655431,18.9767,18.9767,18.2667,0.0583046511627907
2018-05-21,18.966,137517591,18.7553,19.4327,18.7533,0.0318540491355778
2018-05-22,18.334,134077448,19.1841,19.2,18.2281,0.0844973305954825
2018-05-23,18.6047,89583510,18.5173,18.6607,18.2667,0.0261939842209073
2018-05-24,18.5233,62561804,18.56,18.7407,18.326,0.0485792560801144
2018-05-25,18.59,58089286,18.5083,18.6427,18.374,0.0505333785617367
2018-05-29,18.9173,84857253,18.5673,19.1,18.41,0.040670185449358
2018-05-30,19.448,112103794,18.886,19.667,18.7733,0.0632758448060075
2018-05-31,18.982,88692331,19.1473,19.358,18.862,0.1122420204978038
2018-06-01,19.4547,81269719,19.0573,19.4633,18.9226,0.0575594005449591
2018-06-04,19.7827,71906769,19.6227,19.9333,19.5699,0.0895825301204819
2018-06-05,19.4087,88168051,19.8467,19.8533,19.116,0.0747905231984205
2018-06-06,21.3,281135859,20.0333,21.478,19.832,0.0879331301939058
2018-06-07,21.0727,215041542,21.0767,22.0,20.9053,0.0531572151898734
2018-06-08,21.1773,122882564,21.2667,21.632,21.1433,0.1038508426966292
2018-06-11,22.14,197490651,21.5007,22.3107,21.5,0.0626951754385964
2018-06-12,22.8513,333846283,22.98,23.6647,22.5333,0.0709436953165208
2018-06-13,22.9853,141021934,23.1137,23.1467,22.6533,0.0931624209575429
2018-06-14,23.848,164417168,23.1753,23.9167,23.1067,0.0866481308411215
2018-06-15,23.878,162413319,23.5893,24.3113,23.4167,0.0551896367521367
2018-06-18,24.722,180381660,23.6933,24.9153,23.6333,0.019150167000668
2018-06-19,23.5033,191022504,24.344,24.6667,23.0833,0.0227777861445783
2018-06-20,24.148,125553957,23.8693,24.292,23.4667,0.0589301587301587
2018-06-21,23.1673,119247630,24.1333,24.4143,23.0847,0.0284513671875
2018-06-22,22.242,153806473,23.436,23.4833,22.1333,0.0345959010600706
2018-06-25,22.2007,103876283,22.008,22.5647,21.8333,0.013628040201005
2018-06-26,22.8,111521179,22.4036,22.9033,21.7199,0.0567912612612612
2018-06-27,22.9667,124707193,23.0,23.386,22.6333,0.0535824931255728
2018-06-28,23.3287,125822517,23.244,23.8013,23.074,0.0559002525252525
